campaign_id,brand,review_text,sentiment
CAMPAIGN_439,Amazon,Delivery was super quick!,Positive
CAMPAIGN_440,Sony,The sound quality is not as expected.,Negative
CAMPAIGN_441,Google,Pixel’s camera is outstanding.,Positive
CAMPAIGN_442,LG,Interface is clunky and slow.,Negative
CAMPAIGN_443,Puma,Decent product for the price.,Neutral
CAMPAIGN_444,Nike,The shoes are really comfortable and stylish!,Positive
CAMPAIGN_445,Apple,Battery life is disappointing.,Negative
CAMPAIGN_446,Samsung,Display quality is great but camera could be better.,Neutral
CAMPAIGN_447,Adidas,Love the new collection!,Positive
CAMPAIGN_448,OnePlus,Fast performance but heats up sometimes.,Neutral
CAMPAIGN_449,Amazon,Delivery was super quick!,Positive
CAMPAIGN_450,Sony,The sound quality is not as expected.,Negative
CAMPAIGN_451,Google,Pixel’s camera is outstanding.,Positive
CAMPAIGN_452,LG,Interface is clunky and slow.,Negative
CAMPAIGN_453,Puma,Decent product for the price.,Neutral
CAMPAIGN_454,Nike,The shoes are really comfortable and stylish!,Positive
CAMPAIGN_455,Apple,Battery life is disappointing.,Negative
CAMPAIGN_456,Samsung,Display quality is great but camera could be better.,Neutral
CAMPAIGN_457,Adidas,Love the new collection!,Positive
CAMPAIGN_458,OnePlus,Fast performance but heats up sometimes.,Neutral
CAMPAIGN_459,Amazon,Delivery was super quick!,Positive
CAMPAIGN_460,Sony,The sound quality is not as expected.,Negative
CAMPAIGN_461,Google,Pixel’s camera is outstanding.,Positive
CAMPAIGN_462,LG,Interface is clunky and slow.,Negative
CAMPAIGN_463,Puma,Decent product for the price.,Neutral
CAMPAIGN_464,Nike,The shoes are really comfortable and stylish!,Positive
CAMPAIGN_465,Apple,Battery life is disappointing.,Negative
CAMPAIGN_466,Samsung,Display quality is great but camera could be better.,Neutral
CAMPAIGN_467,Adidas,Love the new collection!,Positive
CAMPAIGN_468,OnePlus,Fast performance but heats up sometimes.,Neutral
CAMPAIGN_469,Amazon,Delivery was super quick!,Positive
CAMPAIGN_470,Sony,The sound quality is not as expected.,Negative
CAMPAIGN_471,Google,Pixel’s camera is outstanding.,Positive
CAMPAIGN_472,LG,Interface is clunky and slow.,Negative
CAMPAIGN_473,Puma,Decent product for the price.,Neutral
CAMPAIGN_474,Nike,The shoes are really comfortable and stylish!,Positive
CAMPAIGN_475,Apple,Battery life is disappointing.,Negative
CAMPAIGN_476,Samsung,Display quality is great but camera could be better.,Neutral
CAMPAIGN_477,Google,Pixel’s camera is outstanding.,Positive
CAMPAIGN_478,LG,Interface is clunky and slow.,Negative
CAMPAIGN_479,Puma,Decent product for the price.,Neutral
CAMPAIGN_480,Nike,The shoes are really comfortable and stylish!,Positive
CAMPAIGN_481,Apple,Battery life is disappointing.,Negative
CAMPAIGN_482,Samsung,Display quality is great but camera could be better.,Neutral
CAMPAIGN_483,Adidas,Love the new collection!,Positive
CAMPAIGN_484,OnePlus,Fast performance but heats up sometimes.,Neutral
CAMPAIGN_485,Amazon,Delivery was super quick!,Positive
CAMPAIGN_486,Sony,The sound quality is not as expected.,Negative
CAMPAIGN_487,Google,Pixel’s camera is outstanding.,Positive
CAMPAIGN_488,LG,Interface is clunky and slow.,Negative
CAMPAIGN_489,Puma,Decent product for the price.,Neutral
CAMPAIGN_490,Nike,The shoes are really comfortable and stylish!,Positive
CAMPAIGN_491,Apple,Battery life is disappointing.,Negative
CAMPAIGN_492,Samsung,Display quality is great but camera could be better.,Neutral
CAMPAIGN_493,Adidas,Love the new collection!,Positive
CAMPAIGN_494,OnePlus,Fast performance but heats up sometimes.,Neutral
CAMPAIGN_495,Amazon,Delivery was super quick!,Positive
CAMPAIGN_496,Sony,The sound quality is not as expected.,Negative
CAMPAIGN_497,Google,Pixel’s camera is outstanding.,Positive
CAMPAIGN_498,LG,Interface is clunky and slow.,Negative
CAMPAIGN_499,Puma,Decent product for the price.,Neutral
CAMPAIGN_500,Nike,The shoes are really comfortable and stylish!,Positive
